"","ID","HH_ID","PERSON_NUM","PERSON_ID","HH_WEIGHT","P_WEIGHT","TOUR_NUM","WKSUB_NUM","WKSUB_ID","TRIP_NUM","TRIP_ID","RECORD_ID","NOGO","WHYNO","TOUR_TYPE","TOUR_STOPS","START_TRAV","O_LOC_TYPE","O_GEO_ACC","O_STATE","O_REGION","O_COUNTY","O_CPA","O_MCD","O_TRACT","O_TAZ","ARRIVE","ACTIV1","ACTIV2","ACTIV3","ACTIV4","ACT_DUR1","ACT_DUR2","ACT_DUR3","ACT_DUR4","DEPART","MODE","MODE_AGG","PARTY","HH_MEM","HH_PER_NUM1","HH_PER_NUM2","HH_PER_NUM3","HH_PER_NUM4","HH_PER_NUM5","HH_PER_NUM6","DRVER","VEH_NUM","USE_TOLL","TOLL_RD1","TOLL_RD2","TOLL_RD3","TOLL_RD4","TOLL_RD5","TOLL_B1","TOLL_B2","TOLL_B3","TOLL_B4","TOLL_B5","TOLL_B6","TOLL_B7","TOLL_B8","TOLL_B9","PARK_AT","PARK_TRAV","PARK_PAY","PARK_COST","PARK_UNIT","D_LOC_TYPE","D_GEO_ACC","D_STATE","D_REGION","D_COUNTY","D_CPA","D_MCD","D_TRACT","D_TAZ","TripFactor","Survey_TravTime","Model_TravTime","Model_TravDist","CompositeWeight"
"31",1647,115291,1,11529101,249.0046337,102.331662,1,NA,1.15291e+11,4,1.15291e+13,1152910104,NA,NA,1,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101036700,126,"15:35",19,NA,NA,NA,"0:40","","","","16:15",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101037600,131,1.17,15,13.533333,0.941377,119.7280445
"32",1664,115885,1,11588501,200.8865098,139.4509172,1,NA,1.15885e+11,1,1.15885e+13,1158850101,NA,NA,2,1,2,1,1,42,1,42101,"101_110",4210160000,42101008601,1027,"",1,NA,NA,NA,"6:15","","","","9:15",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000100,106,1.12,32,25.852956,4.19364,156.1850273
"33",1665,115885,1,11588501,200.8865098,139.4509172,1,NA,1.15885e+11,2,1.15885e+13,1158850102,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000100,106,"9:47",13,NA,NA,NA,"1:30","","","","11:17",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_110",4210160000,42101008601,1027,1.12,28,25.634873,4.175721,156.1850273
"34",1686,116267,1,11626701,470.9366346,88.23081906,1,NA,1.16267e+11,2,1.16267e+13,1162670102,NA,NA,3,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,88,"9998",19,NA,NA,NA,"0:00","","","","9998",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_111",4210160000,42101011200,1228,1.17,NA,NA,NA,103.2300583
"35",1688,116267,1,11626701,470.9366346,88.23081906,3,NA,1.16267e+11,4,1.16267e+13,1162670104,NA,NA,2,0,NA,1,1,42,1,42101,"101_111",4210160000,42101011200,1228,"9999",1,NA,NA,NA,"0:00","","","","9998",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_111",4210160000,42101011200,1228,1.17,NA,NA,NA,103.2300583
"36",1693,116267,3,11626703,470.9366346,106.8471023,1,NA,1.16267e+11,1,1.16267e+13,1162670301,NA,NA,3,0,1,4,3,42,1,42101,"101_103",4210160000,42101000100,65,"",6,NA,NA,NA,"0:00","","","","9998",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_111",4210160000,42101011200,1228,1.17,NA,NA,NA,125.0111097
"37",1706,116485,1,11648501,92.10524045,88.10434009,1,NA,1.16485e+11,2,1.16485e+13,1164850102,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101012500,134,"11:36",19,NA,NA,NA,"0:05","","","","11:41",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101036900,1019,1.13,16,24.814879,2.097378,99.5579043
"38",1709,116485,1,11648501,92.10524045,88.10434009,1,NA,1.16485e+11,5,1.16485e+13,1164850105,NA,NA,2,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101036900,1030,"17:01",2,NA,NA,NA,"0:40","","","","17:41",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000700,60,1.13,16,14.35978,1.764623,99.5579043
"39",1716,116549,1,11654901,443.9604921,114.4519886,1,NA,1.16549e+11,1,1.16549e+13,1165490101,NA,NA,2,1,2,1,1,42,1,42101,"101_103",4210160000,42101013601,141,"",1,2,NA,NA,"5:00","","","","11:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_101",4210160000,42101020101,1418,1.17,50,30.802029,3.729637,133.9088266
"40",1717,116549,1,11654901,443.9604921,114.4519886,1,NA,1.16549e+11,2,1.16549e+13,1165490102,NA,NA,2,NA,NA,1,1,42,1,42101,"101_101",4210160000,42101020101,1418,"11:50",11,12,2,3,"0:00","2:00","0:45","","19:30",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42101,"101_103",4210160000,42101013601,141,1.17,45,32.793718,4.092017,133.9088266
"41",1719,116566,1,11656601,172.1268987,100.3896759,1,NA,1.16566e+11,1,1.16566e+13,1165660101,NA,NA,1,1,2,1,1,42,1,42101,"101_103",4210160000,42101013602,142,"",1,NA,NA,NA,"4:45","","","","7:45",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42091,"091_401",4209144976,42091204300,10010,1.12,34,38.547495,7.262314,112.436437
"42",1722,116566,2,11656602,172.1268987,96.92038715,1,NA,1.16566e+11,1,1.16566e+13,1165660201,NA,NA,1,1,2,1,1,42,1,42101,"101_103",4210160000,42101013500,140,"",1,NA,NA,NA,"6:15","","","","9:15",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42101,"101_110",4210160000,42101036900,1030,1.12,33,24.041388,3.134558,108.5508336
