record_id,sample,HH_ID,PERSON_NUM,mode,o_taz,d_taz,restore_average_min,cut_average_min,delta_min,TOUR_TYPE,TOUR_NUM,TRIP_NUM,O_LOC_TYPE,D_LOC_TYPE,ACTIV1,PARTY,MODE,MODE_AGG,TripFactor,CompositeWeight,P_WEIGHT,P_TOT_TRIPS,GEND,AGECAT,RACE,EDUCA,LIC,EMPLY,WK_STAT,JOBS,HOURS,OCCUP,WK_MODE,TCOMM,PARK_SUB,TRAN_SUB,STUDE,T_TRIP,TAP,HH_WEIGHT,H_COUNTY,H_TAZ,A_TYPE,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,TOT_BIKE,CAR_SHARE,RES_TYPE,INCOME,female,age_cat,age_65plus,race_cat,college_deg,has_license,employed,student,transit_trips_wk,transit_subsidy,income_k,low_income,hh_size,hh_workers,hh_vehicles,area_type,work_tour,home_based,zero_veh_hh,veh_per_adult
1169120107,"bus_subway_trolley",116912,1,"Bus / trolleybus",88,71,7.194,8.881,1.688,3,1,7,4,4,19,NA,14,5,1.17,114.4185032,97.7935925,10,2,10,988,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,10,NA,228.4384878,42101,430,3,1,0,0,0,0,2,2,2,1,10,1,NA,1,0,0,0,10,NA,17.5,1,1,0,0,"urban",0,0,1,0
1169120109,"bus_subway_trolley",116912,1,"Bus / trolleybus",71,92,8.217,9.717,1.5,3,1,9,4,4,19,NA,14,5,1.17,114.4185032,97.7935925,10,2,10,988,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,10,NA,228.4384878,42101,430,3,1,0,0,0,0,2,2,2,1,10,1,NA,1,0,0,0,10,NA,17.5,1,1,0,0,"urban",0,0,1,0
1175240102,"bus_subway_trolley",117524,1,"Bus / trolleybus",3203,92,34.487,33.5,-0.987,1,1,2,4,4,19,NA,14,5,1.15,209.2780226,181.9808893,8,1,6,1,6,1,1,NA,1,50,17,3,0,8,8,3,11,NA,75.17606806,42101,3207,3,2,2,2,2,0,2,2,8,0,6,0,"white",1,1,1,0,11,NA,175,0,2,2,2,"urban",1,1,0,1
1175240107,"bus_subway_trolley",117524,1,"Bus / trolleybus",92,3203,33.45,32.448,-1.002,1,1,7,4,4,19,NA,14,5,1.15,209.2780226,181.9808893,8,1,6,1,6,1,1,NA,1,50,17,3,0,8,8,3,11,NA,75.17606806,42101,3207,3,2,2,2,2,0,2,2,8,0,6,0,"white",1,1,1,0,11,NA,175,0,2,2,2,"urban",1,1,0,1
2023740101,"bus_subway_trolley",202374,1,"Bus / trolleybus",1224,1236,26.215,24.8,-1.415,2,1,1,1,4,6,NA,14,5,1.17,266.4983744,227.7763884,2,2,9,988,3,1,1,NA,1,16,21,9,0,9,8,3,2,NA,269.8869014,42101,1224,3,1,1,1,1,0,1,2,2,1,9,0,NA,0,1,1,0,2,NA,17.5,1,1,1,1,"urban",0,1,0,1
2023740102,"bus_subway_trolley",202374,1,"Bus / trolleybus",1236,1224,20.375,28.625,8.25,2,1,2,4,1,6,NA,14,5,1.17,266.4983744,227.7763884,2,2,9,988,3,1,1,NA,1,16,21,9,0,9,8,3,2,NA,269.8869014,42101,1224,3,1,1,1,1,0,1,2,2,1,9,0,NA,0,1,1,0,2,NA,17.5,1,1,1,1,"urban",0,1,0,1
2064720101,"bus_subway_trolley",206472,1,"Bus / trolleybus",142,41,25.871,28.398,2.527,2,1,1,1,4,1,NA,14,5,1.17,108.4845967,92.72187755,5,2,9,988,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,0,NA,202.8848881,42101,142,3,2,1,0,0,1,1,2,5,1,9,0,NA,1,0,0,0,0,NA,62.5,0,2,1,0,"urban",0,1,1,0
2064720104,"bus_subway_trolley",206472,1,"Bus / trolleybus",76,88,10.502,11.342,0.84,2,1,4,4,4,6,NA,14,5,1.17,108.4845967,92.72187755,5,2,9,988,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,0,NA,202.8848881,42101,142,3,2,1,0,0,1,1,2,5,1,9,0,NA,1,0,0,0,0,NA,62.5,0,2,1,0,"urban",0,1,1,0
2064720105,"bus_subway_trolley",206472,1,"Bus / trolleybus",88,142,29.615,31.877,2.262,2,1,5,4,1,8,NA,14,5,1.17,108.4845967,92.72187755,5,2,9,988,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,0,NA,202.8848881,42101,142,3,2,1,0,0,1,1,2,5,1,9,0,NA,1,0,0,0,0,NA,62.5,0,2,1,0,"urban",0,1,1,0
2064720201,"bus_subway_trolley",206472,2,"Bus / trolleybus",142,403,22.344,20.025,-2.319,1,1,1,1,2,1,NA,14,5,1.17,103.2300583,88.23081906,2,1,9,988,6,1,1,NA,1,35,21,4,0,8,2,3,11,NA,202.8848881,42101,142,3,2,1,0,0,1,1,2,5,0,9,0,NA,1,1,1,0,11,0,62.5,0,2,1,0,"urban",1,1,1,0
