"record_id","person_id","journey_id","trip_num","mode","rr_role","depart_time","depart_min_of_day","depart_lon","depart_lat","dest_lon","dest_lat","o_county","d_county","peak_period","is_peak","survey_travtime","model_travtime"
3884280208,38842802,18297,8,22,"rail_leg","16:29",989,-75.1928742171467,39.9459041130135,-75.1834073455283,39.9599979498596,42101,42101,"pm_peak",TRUE,4,16.033201
3884280209,38842802,18297,9,22,"rail_leg","16:40",1000,-75.1834073455283,39.9599979498596,-75.2823535717739,40.2437347422191,42101,42091,"pm_peak",TRUE,54,66.594024
3891190102,38911901,18520,2,22,"rail_leg","7:50",470,-75.1944243101308,40.0409483586041,-75.1834073455283,39.9599979498596,42101,42101,"am_peak",TRUE,25,26.583157
3891190103,38911901,18520,3,14,"feeder_leg","8:30",510,-75.1834073455283,39.9599979498596,-75.202230610969,39.9458213862922,42101,42101,"am_peak",TRUE,5,20.048522
3891190104,38911901,18520,4,14,"feeder_leg","16:45",1005,-75.202230610969,39.9458213862922,-75.202230610969,39.9458213862922,42101,42101,"pm_peak",TRUE,20,7.672936
3891190105,38911901,18521,5,22,"rail_leg","17:21",1041,-75.202230610969,39.9458213862922,-75.202230610969,39.9458213862922,42101,42101,"pm_peak",TRUE,19,7.672936
3892120102,38921201,18523,2,22,"rail_leg","6:06",366,-75.1297691436794,40.0713922682092,-75.1588750233838,39.9528401835985,42091,42101,"am_peak",TRUE,18,25.77019
3892120103,38921201,18523,3,14,"feeder_leg","6:29",389,-75.1588750233838,39.9528401835985,-75.1466622121185,39.9478355374067,42101,42101,"am_peak",TRUE,10,11.803805
3892120104,38921201,18523,4,21,"feeder_leg","15:15",915,-75.1466622121185,39.9478355374067,-75.1588750233838,39.9528401835985,42101,42101,"off_peak",FALSE,10,12.634956
3892120105,38921201,18524,5,22,"rail_leg","15:35",935,-75.1588750233838,39.9528401835985,-75.1256172805438,40.0721167066709,42101,42091,"off_peak",FALSE,35,25.390223
3892120201,38921202,18530,1,22,"rail_leg","6:30",390,-75.1256172805438,40.0721167066709,-75.1691139313301,39.9535949564727,42091,42101,"am_peak",TRUE,33,37.730184
